167,1782107180.518805
168,1782107180.552106
169,1782107180.552150
170,1782107180.552168
171,1782107180.552184
172,1782107180.552200
173,1782107180.552218
174,1782107180.552234
175,1782107180.552251
176,1782107180.585443
177,1782107180.585488
178,1782107180.585502
179,1782107180.585513
180,1782107180.585523
181,1782107180.585534
182,1782107180.585544
183,1782107180.585556
184,1782107180.618893
185,1782107180.618937
186,1782107180.618951
187,1782107180.618969
188,1782107180.618983
189,1782107180.618997
190,1782107180.619010
191,1782107180.619026
192,1782107180.652275
193,1782107180.652363
194,1782107180.652379
195,1782107180.652392
196,1782107180.652405
197,1782107180.652418
198,1782107180.652432
199,1782107180.652447
200,1782107180.685521
201,1782107180.685566
202,1782107180.685584
203,1782107180.685599
204,1782107180.685615
205,1782107180.685631
206,1782107180.685647
207,1782107180.718841
208,1782107180.718882
209,1782107180.718899
210,1782107180.718916
211,1782107180.718931
212,1782107180.718947
213,1782107180.718963
214,1782107180.752171
215,1782107180.752214
216,1782107180.752232
217,1782107180.752248
218,1782107180.752262
219,1782107180.752277
220,1782107180.752293
221,1782107180.785564
222,1782107180.785604
223,1782107180.785617
224,1782107180.785630
225,1782107180.785642
226,1782107180.785654
227,1782107180.785667
228,1782107180.818946
229,1782107180.818988
230,1782107180.819001
231,1782107180.819014
232,1782107180.819027
233,1782107180.819041
234,1782107180.819055
235,1782107180.852242
236,1782107180.852297
237,1782107180.852365
238,1782107180.852383
239,1782107180.852400
240,1782107180.852418
241,1782107180.852438
242,1782107180.885514
243,1782107180.885559
244,1782107180.885577
245,1782107180.885592
246,1782107180.885607
247,1782107180.885627
248,1782107180.885644
249,1782107180.918830
250,1782107180.918872
251,1782107180.918889
252,1782107180.918905
253,1782107180.918921
254,1782107180.918936
255,1782107180.918952
256,1782107180.952148
257,1782107180.952187
258,1782107180.952202
259,1782107180.952216
260,1782107180.952231
261,1782107180.952245
262,1782107180.952259
263,1782107180.985478
264,1782107180.985522
265,1782107180.985539
266,1782107180.985553
267,1782107180.985566
268,1782107180.985580
269,1782107180.985597
270,1782107181.018952
271,1782107181.018999
272,1782107181.019013
273,1782107181.019026
274,1782107181.019038
275,1782107181.019051
276,1782107181.019063
277,1782107181.052279
278,1782107181.052366
279,1782107181.052382
280,1782107181.052397
281,1782107181.052411
282,1782107181.052424
283,1782107181.052439
284,1782107181.085523
285,1782107181.085567
286,1782107181.085584
287,1782107181.085602
288,1782107181.085617
289,1782107181.085634
290,1782107181.085652
291,1782107181.118961
292,1782107181.119017
293,1782107181.119040
294,1782107181.119059
295,1782107181.119076
296,1782107181.119095
297,1782107181.119114
298,1782107181.152200
299,1782107181.152249
300,1782107181.152269
301,1782107181.152287
302,1782107181.152404
303,1782107181.152425
304,1782107181.152445
305,1782107181.185474
306,1782107181.185519
307,1782107181.185535
308,1782107181.185550
309,1782107181.185569
310,1782107181.185582
311,1782107181.185598
312,1782107181.218894
313,1782107181.218944
314,1782107181.218961
315,1782107181.218977
316,1782107181.218992
317,1782107181.219008
318,1782107181.219026
319,1782107181.252172
320,1782107181.252214
321,1782107181.252232
322,1782107181.252248
323,1782107181.252264
324,1782107181.252279
325,1782107181.252297
326,1782107181.285537
327,1782107181.285585
328,1782107181.285610
329,1782107181.285629
330,1782107181.285647
331,1782107181.285665
332,1782107181.285683
333,1782107181.318732
334,1782107181.318773
335,1782107181.318791
336,1782107181.318806
337,1782107181.318822
338,1782107181.318838
339,1782107181.318854
340,1782107181.352049
341,1782107181.352081
342,1782107181.352098
343,1782107181.352111
344,1782107181.352125
345,1782107181.352138
346,1782107181.352155
347,1782107181.385427
348,1782107181.385457
349,1782107181.385484
350,1782107181.385495
351,1782107181.385506
352,1782107181.385516
353,1782107181.385530
354,1782107181.418892
355,1782107181.418942
356,1782107181.418959
357,1782107181.418975
358,1782107181.418990
359,1782107181.419006
360,1782107181.419024
361,1782107181.452047
362,1782107181.452082
363,1782107181.452099
364,1782107181.452115
365,1782107181.452131
366,1782107181.452146
367,1782107181.452163
368,1782107181.485573
369,1782107181.485621
370,1782107181.485639
371,1782107181.485655
372,1782107181.485670
373,1782107181.485686
374,1782107181.485703
375,1782107181.518820
376,1782107181.518862
377,1782107181.518879
378,1782107181.519052
379,1782107181.519069
380,1782107181.519086
381,1782107181.519102
382,1782107181.552162
383,1782107181.552201
384,1782107181.552216
385,1782107181.552229
386,1782107181.552243
387,1782107181.552258
388,1782107181.552274
389,1782107181.585492
390,1782107181.585526
391,1782107181.585540
392,1782107181.585553
393,1782107181.585566
394,1782107181.585578
395,1782107181.585593
396,1782107181.618865
397,1782107181.618904
398,1782107181.618918
399,1782107181.618930
400,1782107181.618943
401,1782107181.618956
402,1782107181.618971
403,1782107181.652172
404,1782107181.652214
405,1782107181.652231
406,1782107181.652249
407,1782107181.652266
408,1782107181.652281
409,1782107181.652340
410,1782107181.685500
411,1782107181.685542
412,1782107181.685560
413,1782107181.685576
414,1782107181.685594
415,1782107181.685609
416,1782107181.685626
417,1782107181.718837
418,1782107181.718878
419,1782107181.718896
420,1782107181.718913
421,1782107181.718929
422,1782107181.718945
423,1782107181.752236
424,1782107181.752280
425,1782107181.752295
426,1782107181.752336
427,1782107181.752350
428,1782107181.752363
429,1782107181.752379
430,1782107181.785531
431,1782107181.785572
432,1782107181.785586
433,1782107181.785599
434,1782107181.785612
435,1782107181.785625
436,1782107181.818930
437,1782107181.818976
438,1782107181.818991
439,1782107181.819005
440,1782107181.819019
441,1782107181.819034
442,1782107181.852153
443,1782107181.852183
444,1782107181.852193
445,1782107181.852203
446,1782107181.852212
447,1782107181.852222
448,1782107181.852232
449,1782107181.885635
450,1782107181.885679
451,1782107181.885695
452,1782107181.885711
453,1782107181.885726
454,1782107181.885743
455,1782107181.885764
456,1782107181.918727
457,1782107181.918761
458,1782107181.918775
459,1782107181.918789
460,1782107181.918802
461,1782107181.918816
462,1782107181.918832
463,1782107181.952250
464,1782107181.952345
465,1782107181.952382
466,1782107181.952412
467,1782107181.952442
468,1782107181.952471
469,1782107181.952501
470,1782107181.985476
471,1782107181.985540
472,1782107181.985569
473,1782107181.985594
474,1782107181.985619
475,1782107181.985643
476,1782107181.985668
477,1782107182.018739
478,1782107182.018803
479,1782107182.018836
480,1782107182.018868
481,1782107182.018899
482,1782107182.018931
483,1782107182.018964
484,1782107182.052096
485,1782107182.052165
486,1782107182.052207
487,1782107182.052243
488,1782107182.052274
489,1782107182.052344
490,1782107182.052382
491,1782107182.085471
492,1782107182.085531
493,1782107182.085563
494,1782107182.085593
495,1782107182.085621
496,1782107182.085649
497,1782107182.085679
498,1782107182.118730
499,1782107182.118789
500,1782107182.118818
501,1782107182.118844
502,1782107182.118878
503,1782107182.118905
504,1782107182.118933
505,1782107182.152064
